level_name,success_rate,avg_attempts,avg_steps_to_success,avg_total_steps,avg_reward,avg_episode_time,successful_episodes,failed_episodes,total_episodes,target_episodes,action_space_size,action_objects,total_objects
just_a_nudge,0.27,17.8,674.2592592592592,732.33,0.23399999999999999,2.3761036562919617,27,73,100,100,3,['red_ball'],7
falling_into_place,0.75,11.27,566.3066666666666,508.28,0.748,0.25114495515823365,75,25,100,100,3,['red_ball'],6
the_fulcrum,0.04,19.59,812.75,339.21,0.034,0.7871499061584473,4,96,100,100,3,['red_ball'],12
pinball_machine,1.0,3.59,531.27,531.27,1.0,0.1068457555770874,100,0,100,100,3,['red_ball'],28
the_cradle,0.39,16.64,442.46153846153845,335.08,0.382,0.2505065941810608,39,61,100,100,3,['red_ball'],5
keyhole,0.6,13.63,473.9166666666667,423.88,0.597,0.27731136083602903,60,40,100,100,3,['red_ball'],6
seesaw,0.04,19.76,397.75,451.41,0.034,0.6737542939186096,4,96,100,100,3,['red_ball'],7
zebra_gate,0.02,19.81,438.5,399.1,0.005000000000000001,0.7507602477073669,2,98,100,100,3,['red_ball'],13
straight_face,0.64,12.91,397.25,348.6,0.638,0.26192278146743775,64,36,100,100,3,['red_ball'],7
down_to_earth,0.74,12.17,573.7432432432432,482.25,0.7390000000000001,0.16552581548690795,74,26,100,100,3,['red_ball'],4
dive_bomb,0.06,19.31,519.0,889.13,-0.017999999999999995,1.2194285321235656,6,94,100,100,3,['red_ball'],18
the_funnel,0.79,10.89,462.1898734177215,444.72,0.7879999999999999,0.15887117147445678,79,21,100,100,3,['red_ball'],7
flagpole_sitta,0.99,2.58,538.5151515151515,534.35,0.99,0.02848548412322998,99,1,100,100,3,['red_ball'],7
tipping_point,0.42,16.13,373.6666666666667,268.12,0.41700000000000004,0.1845003843307495,42,58,100,100,3,['red_ball'],4
locust_swarm,1.0,1.97,385.18,385.18,1.0,0.05988771677017212,100,0,100,100,3,['red_ball'],36
pass_the_parcel,0.0,20.0,0.0,190.78,-0.0030000000000000005,0.557676887512207,0,100,100,100,3,['red_ball'],7
basket_case,0.66,12.54,408.57575757575756,383.3,0.659,0.289471218585968,66,34,100,100,3,['red_ball'],4
staircase,0.86,8.55,264.6860465116279,284.21,0.86,0.7271453833580017,86,14,100,100,3,['red_ball'],10
off_the_rails,0.0,20.0,0.0,209.28,0.0,1.345783724784851,0,100,100,100,3,['red_ball'],5
end_of_line,0.66,12.85,404.8030303030303,373.1,0.6560000000000001,0.28843338012695313,66,34,100,100,3,['red_ball'],6
cliffhanger,0.12,18.71,381.5833333333333,132.62,0.11900000000000001,0.2280554175376892,12,88,100,100,3,['red_ball'],5
pinhole,0.64,13.01,479.40625,549.85,0.632,0.3180007195472717,64,36,100,100,3,['red_ball'],6
catapult,0.11,18.94,638.6363636363636,885.12,0.044000000000000004,2.506490774154663,11,89,100,100,3,['red_ball'],9
wedge_issue,0.0,20.0,0.0,530.49,-0.034,0.6428301572799683,0,100,100,100,3,['red_ball'],4
two_body_problem,0.57,13.09,653.0175438596491,525.35,0.5640000000000001,0.5899170184135437,57,43,100,100,3,['red_ball'],3
